schcode,year,school,complexname,complexareaname,schooltypename,classification,totalindex,classificationplace
282,2014,Kapolei Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,131,3
283,2013,Kanoelani Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,345,3
283,2014,Kanoelani Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,338,3
285,2013,Momilani Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,344,3
285,2014,Momilani Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,329,3
286,2013,Mauka Lani Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,185,3
286,2014,Mauka Lani Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,221,3
287,2013,Kaleiopuu Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,288,3
287,2014,Kaleiopuu Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,226,3
288,2013,Waiau Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,162,3
288,2014,Waiau Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,327,3
290,2013,Waikele Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,308,3
290,2014,Waikele Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,264,3
291,2013,Kapolei Middle,Kapolei,Campbell-Kapolei,Middle,Continuous Improvement,198,3
291,2014,Kapolei Middle,Kapolei,Campbell-Kapolei,Middle,Continuous Improvement,95,3
292,2013,Kapolei High,Kapolei,Campbell-Kapolei,High,Continuous Improvement,225,3
292,2014,Kapolei High,Kapolei,Campbell-Kapolei,High,Continuous Improvement,196,3
294,2013,Keoneula Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,154,3
294,2014,Keoneula Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,126,3
296,2013,Ewa Makai Middle ,Campbell,Campbell-Kapolei,Middle,Continuous Improvement,200,3
296,2014,Ewa Makai Middle ,Campbell,Campbell-Kapolei,Middle,Continuous Improvement,175,3
300,2013,Aikahi Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Continuous Improvement,301,3
300,2014,Aikahi Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Continuous Improvement,255,3
301,2013,James B. Castle High,Castle,Castle-Kahuku,High,Focus,189,2
301,2014,James B. Castle High,Castle,Castle-Kahuku,High,Focus,197,2
302,2013,Enchanted Lake Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,207,3
302,2014,Enchanted Lake Elementary,Kailua,Kailua-Kalaheo,Elementary,Recognition,315,4
303,2013,Hauula Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,198,3
303,2014,Hauula Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,257,3
304,2013,Heeia Elementary,Castle,Castle-Kahuku,Elementary,Focus,96,2
304,2014,Heeia Elementary,Castle,Castle-Kahuku,Elementary,Focus,242,2
305,2013,Kaaawa Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,148,3
305,2014,Kaaawa Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,104,3
306,2013,Kahaluu Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,231,3
306,2014,Kahaluu Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,356,3
307,2013,Kahuku High & Intermediate,Kahuku,Castle-Kahuku,High,Continuous Improvement,186,3
307,2014,Kahuku High & Intermediate,Kahuku,Castle-Kahuku,High,Continuous Improvement,197,3
308,2013,Kailua Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Continuous Improvement,228,3
308,2014,Kailua Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Continuous Improvement,160,3
309,2013,Kailua High,Kailua,Kailua-Kalaheo,High,Continuous Improvement,175,3
309,2014,Kailua High,Kailua,Kailua-Kalaheo,High,Continuous Improvement,186,3
310,2013,Kailua Intermediate,Kalaheo,Kailua-Kalaheo,Middle,Continuous Improvement,159,3
310,2014,Kailua Intermediate,Kalaheo,Kailua-Kalaheo,Middle,Continuous Improvement,226,3
311,2013,Kainalu Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Focus,123,2
311,2014,Kainalu Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Focus,278,2
312,2013,Kalaheo High,Kalaheo,Kailua-Kalaheo,High,Continuous Improvement,299,3
312,2014,Kalaheo High,Kalaheo,Kailua-Kalaheo,High,Continuous Improvement,221,3
313,2013,Kaneohe Elementary,Castle,Castle-Kahuku,Elementary,Focus,118,2
313,2014,Kaneohe Elementary,Castle,Castle-Kahuku,Elementary,Focus,326,2
314,2013,Puohala Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,245,3
314,2014,Puohala Elementary,Castle,Castle-Kahuku,Elementary,Recognition,335,4
315,2013,Kapunahala Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,199,3
315,2014,Kapunahala Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,234,3
317,2013,Keolu Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,258,3
317,2014,Keolu Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,188,3
318,2013,Samuel Wilder King Intermediate,Castle,Castle-Kahuku,Middle,Continuous Improvement,227,3
318,2014,Samuel Wilder King Intermediate,Castle,Castle-Kahuku,Middle,Continuous Improvement,283,3
319,2013,Laie Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,298,3
319,2014,Laie Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,300,3
320,2013,Lanikai Elementary PCS,Charter Schools,Charter Schools,Elementary,Continuous Improvement,251,3
320,2014,Lanikai Elementary PCS,Charter Schools,Charter Schools,Elementary,Continuous Improvement,203,3
321,2013,Maunawili Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,258,3
321,2014,Maunawili Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,181,3
322,2013,Mokapu Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Continuous Improvement,200,3
322,2014,Mokapu Elementary,Kalaheo,Kailua-Kalaheo,Elementary,Recognition,354,4
323,2013,Benjamin Parker Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,245,3
323,2014,Benjamin Parker Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,217,3
324,2013,Blanche Pope Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,172,3
324,2014,Blanche Pope Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,68,3
325,2013,Sunset Beach Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,315,3
325,2014,Sunset Beach Elementary,Kahuku,Castle-Kahuku,Elementary,Continuous Improvement,221,3
326,2013,Waiahole Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,295,3
326,2014,Waiahole Elementary,Castle,Castle-Kahuku,Elementary,Continuous Improvement,265,3
327,2013,Waimanalo Elementary & Intermediate,Kailua,Kailua-Kalaheo,Middle,Continuous Improvement,192,3
327,2014,Waimanalo Elementary & Intermediate,Kailua,Kailua-Kalaheo,Middle,Continuous Improvement,162,3
330,2013,Kaelepulu Elementary,Kailua,Kailua-Kalaheo,Elementary,Continuous Improvement,287,3
330,2014,Kaelepulu Elementary,Kailua,Kailua-Kalaheo,Elementary,Recognition,390,4
331,2013,Kahuku Elementary,Kahuku,Castle-Kahuku,Elementary,Focus,89,2
331,2014,Kahuku Elementary,Kahuku,Castle-Kahuku,Elementary,Focus,227,2
335,2013,Ahuimanu Elementary,Castle,Castle-Kahuku,Elementary,Recognition,328,4
335,2014,Ahuimanu Elementary,Castle,Castle-Kahuku,Elementary,Recognition,207,4
351,2013,Ernest Bowen de Silva Elementary,Hilo,Hilo-Waiakea,Elementary,Recognition,377,4
351,2014,Ernest Bowen de Silva Elementary,Hilo,Hilo-Waiakea,Elementary,Recognition,341,4
352,2013,Haaheo Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,232,3
352,2014,Haaheo Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,366,3
353,2013,Keaau Elementary,Keaau,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,298,3
353,2014,Keaau Elementary,Keaau,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,271,3
354,2013,Keaau High,Keaau,Kau-Keaau-Pahoa,High,Continuous Improvement,257,3
354,2014,Keaau High,Keaau,Kau-Keaau-Pahoa,High,Continuous Improvement,221,3
355,2013,Hilo High,Hilo,Hilo-Waiakea,High,Focus,171,2
355,2014,Hilo High,Hilo,Hilo-Waiakea,High,Focus,219,2
356,2013,Hilo Intermediate,Hilo,Hilo-Waiakea,Middle,Continuous Improvement,252,3
356,2014,Hilo Intermediate,Hilo,Hilo-Waiakea,Middle,Continuous Improvement,282,3
357,2013,Hilo Union Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,214,3
357,2014,Hilo Union Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,149,3
358,2013,Holualoa Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,198,3
358,2014,Holualoa Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,216,3
359,2013,Honaunau Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,288,3
359,2014,Honaunau Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,301,3
360,2013,Honokaa High & Intermediate,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,234,3
360,2014,Honokaa High & Intermediate,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,215,3
361,2013,Honokaa Elementary,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,256,3
361,2014,Honokaa Elementary,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,173,3
363,2013,Hookena Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Focus,101,2
363,2014,Hookena Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Focus,182,2
365,2013,Kalanianaole Elementary & Intermediate,Hilo,Hilo-Waiakea,Middle,Continuous Improvement,300,3
365,2014,Kalanianaole Elementary & Intermediate,Hilo,Hilo-Waiakea,Middle,Continuous Improvement,209,3
366,2013,Kohala Middle,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,184,3
366,2014,Kohala Middle,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,159,3
367,2013,Chiefess Kapiolani Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,213,3
367,2014,Chiefess Kapiolani Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,166,3
368,2013,Kau High & Pahala Elementary,Kau,Kau-Keaau-Pahoa,High,Continuous Improvement,208,3
368,2014,Kau High & Pahala Elementary,Kau,Kau-Keaau-Pahoa,High,Continuous Improvement,159,3
369,2013,Kaumana Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,175,3
369,2014,Kaumana Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,179,3
370,2013,Keaau Middle,Keaau,Kau-Keaau-Pahoa,Middle,Continuous Improvement,165,3
370,2014,Keaau Middle,Keaau,Kau-Keaau-Pahoa,Middle,Continuous Improvement,134,3
371,2013,Kahakai Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,259,3
371,2014,Kahakai Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,215,3
372,2013,Keaukaha Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,174,3
372,2014,Keaukaha Elementary,Hilo,Hilo-Waiakea,Elementary,Continuous Improvement,165,3
373,2013,Kohala High,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,252,3
373,2014,Kohala High,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,233,3
374,2013,Konawaena High,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,169,3
374,2014,Konawaena High,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,211,3
375,2013,Konawaena Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Recognition,350,4
375,2014,Konawaena Elementary,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Recognition,253,4
376,2013,Konawaena Middle,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Focus,91,2
376,2014,Konawaena Middle,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Focus,127,2
377,2013,Laupahoehoe Community - PCS,Charter Schools,Charter Schools,High,Focus,202,2
377,2014,Laupahoehoe Community - PCS,Charter Schools,Charter Schools,High,Focus,158,2
378,2013,Ke Kula O Ehunuikaimalino,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,187,3
378,2014,Ke Kula O Ehunuikaimalino,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,193,3
379,2013,Mountain View Elementary,Keaau,Kau-Keaau-Pahoa,Elementary,Focus,103,2
379,2014,Mountain View Elementary,Keaau,Kau-Keaau-Pahoa,Elementary,Focus,70,2
380,2013,Naalehu Elementary,Kau,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,199,3
380,2014,Naalehu Elementary,Kau,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,144,3
381,2013,Pahoa Elementary,Pahoa,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,295,3
381,2014,Pahoa Elementary,Pahoa,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,238,3
382,2013,Paauilo Elementary & Intermediate,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,206,3
382,2014,Paauilo Elementary & Intermediate,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,97,3
383,2013,Pahoa High & Intermediate,Pahoa,Kau-Keaau-Pahoa,High,Continuous Improvement,207,3
383,2014,Pahoa High & Intermediate,Pahoa,Kau-Keaau-Pahoa,High,Continuous Improvement,199,3
384,2013,Waiakea Elementary,Waiakea,Hilo-Waiakea,Elementary,Focus,91,2
384,2014,Waiakea Elementary,Waiakea,Hilo-Waiakea,Elementary,Focus,131,2
385,2013,Waiakea Intermediate,Waiakea,Hilo-Waiakea,Middle,Continuous Improvement,321,3
385,2014,Waiakea Intermediate,Waiakea,Hilo-Waiakea,Middle,Continuous Improvement,309,3
386,2013,Waiakeawaena Elementary,Waiakea,Hilo-Waiakea,Elementary,Continuous Improvement,202,3
386,2014,Waiakeawaena Elementary,Waiakea,Hilo-Waiakea,Elementary,Continuous Improvement,248,3
387,2013,Waimea Elementary,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,210,3
387,2014,Waimea Elementary,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,94,3
388,2013,Kealakehe Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Focus,90,2
388,2014,Kealakehe Elementary,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Focus,138,2
389,2013,Waiakea High,Waiakea,Hilo-Waiakea,High,Continuous Improvement,213,3
389,2014,Waiakea High,Waiakea,Hilo-Waiakea,High,Continuous Improvement,206,3
390,2013,Kealakehe Intermediate,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,241,3
390,2014,Kealakehe Intermediate,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,189,3
391,2013,Keonepoko Elementary,Pahoa,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,222,3
391,2014,Keonepoko Elementary,Pahoa,Kau-Keaau-Pahoa,Elementary,Continuous Improvement,195,3
392,2013,Kealakehe High,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,250,3
392,2014,Kealakehe High,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,High,Continuous Improvement,258,3
393,2013,Waikoloa Elementary & Middle,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,257,3
393,2014,Waikoloa Elementary & Middle,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Middle,Continuous Improvement,217,3
394,2013,Waimea Middle PCCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,147,3
394,2014,Waimea Middle PCCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,158,3
395,2013,Kohala Elementary,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,181,3
395,2014,Kohala Elementary,Kohala,Honokaa-Kealakehe-Kohala-Konawaena,Elementary,Continuous Improvement,192,3
396,2013,Connections NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,223,3
396,2014,Connections NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,192,3
397,2013,Kanu o ka `Aina New Century PCS,Charter Schools,Charter Schools,High,Continuous Improvement,219,3
397,2014,Kanu o ka `Aina New Century PCS,Charter Schools,Charter Schools,High,Continuous Improvement,213,3
398,2013,Waters of Life NCPCS,Charter Schools,Charter Schools,Middle,Recognition,364,4
398,2014,Na Wai Ola Public Charter School,Charter Schools,Charter Schools,Elementary,Recognition,143,4
399,2013,West Hawaii Explorations Academy PCS,Charter Schools,Charter Schools,High,Focus,245,2
399,2014,West Hawaii Explorations Academy PCS,Charter Schools,Charter Schools,High,Focus,198,2
400,2013,Henry Perrine Baldwin High,Baldwin,Baldwin-Kekaulike-Maui,High,Focus,225,2
400,2014,Henry Perrine Baldwin High,Baldwin,Baldwin-Kekaulike-Maui,High,Focus,212,2
401,2013,Haiku Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,203,3
401,2014,Haiku Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,163,3
402,2013,Hana High & Elementary,Hana,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,199,3
402,2014,Hana High & Elementary,Hana,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,210,3
404,2013,Iao Intermediate,Baldwin,Baldwin-Kekaulike-Maui,Middle,Focus,97,2
404,2014,Iao Intermediate,Baldwin,Baldwin-Kekaulike-Maui,Middle,Focus,152,2
405,2013,Kahului Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,305,3
405,2014,Kahului Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,277,3
406,2013,King Kamehameha III Elementary,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,201,3
406,2014,King Kamehameha III Elementary,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,297,3
407,2013,Kaunakakai Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,275,3
407,2014,Kaunakakai Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,259,3
409,2013,Kihei Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,348,3
409,2014,Kihei Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,266,3
410,2013,Kilohana Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,273,3
410,2014,Kilohana Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Recognition,361,4
411,2013,Kualapuu Elementary PCCS,Charter Schools,Charter Schools,Elementary,Continuous Improvement,282,3
411,2014,Kualapuu Elementary PCCS,Charter Schools,Charter Schools,Elementary,Continuous Improvement,256,3
412,2013,Kula Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,225,3
412,2014,Kula Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,254,3
413,2013,Lahaina Intermediate,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Middle,Continuous Improvement,165,3
413,2014,Lahaina Intermediate,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Middle,Continuous Improvement,201,3
414,2013,Lahainaluna High,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,High,Focus,184,2
414,2014,Lahainaluna High,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,High,Focus,164,2
415,2013,Lanai High & Elementary,Lanai,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,203,3
415,2014,Lanai High & Elementary,Lanai,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,185,3
416,2013,Lihikai Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,260,3
416,2014,Lihikai Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,141,3
417,2013,Makawao Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,165,3
417,2014,Makawao Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,237,3
418,2013,Maui High,Maui,Baldwin-Kekaulike-Maui,High,Continuous Improvement,219,3
418,2014,Maui High,Maui,Baldwin-Kekaulike-Maui,High,Continuous Improvement,224,3
419,2013,Maunaloa Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Recognition,343,4
419,2014,Maunaloa Elementary,Molokai,Hana-Lahainaluna-Lanai-Molokai,Elementary,Recognition,362,4
420,2013,Samuel Enoka Kalama Intermediate,King Kekaulike,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,181,3
420,2014,Samuel Enoka Kalama Intermediate,King Kekaulike,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,248,3
421,2013,Molokai High,Molokai,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,192,3
421,2014,Molokai High,Molokai,Hana-Lahainaluna-Lanai-Molokai,High,Continuous Improvement,174,3
422,2013,Paia Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,167,3
422,2014,Paia Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,172,3
424,2013,Waihee Elementary,Baldwin,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,267,3
424,2014,Waihee Elementary,Baldwin,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,212,3
425,2013,Wailuku Elementary,Baldwin,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,168,3
425,2014,Wailuku Elementary,Baldwin,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,144,3
426,2013,Pukalani Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,181,3
426,2014,Pukalani Elementary,King Kekaulike,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,131,3
428,2013,Maui Waena Intermediate,Maui,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,144,3
428,2014,Maui Waena Intermediate,Maui,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,203,3
429,2013,Princess Nahienaena Elementary,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,246,3
429,2014,Princess Nahienaena Elementary,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Elementary,Continuous Improvement,149,3
430,2013,Lokelani Intermediate,Maui,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,217,3
430,2014,Lokelani Intermediate,Maui,Baldwin-Kekaulike-Maui,Middle,Continuous Improvement,155,3
431,2013,Kamalii Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,256,3
431,2014,Kamalii Elementary,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,199,3
433,2013,Pomaikai Elementary ,Maui,Baldwin-Kekaulike-Maui,Elementary,Continuous Improvement,254,3
433,2014,Pomaikai Elementary ,Maui,Baldwin-Kekaulike-Maui,Elementary,Recognition,315,4
434,2013,Molokai Middle,Molokai,Hana-Lahainaluna-Lanai-Molokai,Middle,Continuous Improvement,200,3
434,2014,Molokai Middle,Molokai,Hana-Lahainaluna-Lanai-Molokai,Middle,Continuous Improvement,119,3
435,2013,King Kekaulike High,King Kekaulike,Baldwin-Kekaulike-Maui,High,Focus,221,2
435,2014,King Kekaulike High,King Kekaulike,Baldwin-Kekaulike-Maui,High,Focus,192,2
436,2014,Pu'u Kukui Elementary ,Baldwin,Baldwin-Kekaulike-Maui,Elementary,Classification Not Determined,115,0
447,2013,Kapaa Middle,Kapaa,Kapaa-Kauai-Waimea,Middle,Continuous Improvement,235,3
447,2014,Kapaa Middle,Kapaa,Kapaa-Kauai-Waimea,Middle,Continuous Improvement,276,3
448,2013,Chiefess Kamakahelei Middle,Kauai,Kapaa-Kauai-Waimea,Middle,Focus,101,2
448,2014,Chiefess Kamakahelei Middle,Kauai,Kapaa-Kauai-Waimea,Middle,Focus,258,2
451,2013,Eleele Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,157,3
451,2014,Eleele Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,139,3
452,2013,Hanalei Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,254,3
452,2014,Hanalei Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,149,3
453,2013,Kalaheo Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,201,3
453,2014,Kalaheo Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,297,3
454,2013,Kapaa Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Focus,86,2
454,2014,Kapaa Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Focus,180,2
455,2013,Kapaa High,Kapaa,Kapaa-Kauai-Waimea,High,Continuous Improvement,220,3
455,2014,Kapaa High,Kapaa,Kapaa-Kauai-Waimea,High,Continuous Improvement,172,3
456,2013,Kauai High,Kauai,Kapaa-Kauai-Waimea,High,Focus,240,2
456,2014,Kauai High,Kauai,Kapaa-Kauai-Waimea,High,Focus,230,2
457,2013,King Kaumualii Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,184,3
457,2014,King Kaumualii Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Recognition,303,4
458,2013,Kekaha Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Priority,72,1
458,2014,Kekaha Elementary,Waimea,Kapaa-Kauai-Waimea,Elementary,Priority,74,1
459,2013,Kilauea Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,232,3
459,2014,Kilauea Elementary,Kapaa,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,215,3
460,2013,Koloa Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,177,3
460,2014,Koloa Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,315,3
461,2013,Niihau,Waimea,Kapaa-Kauai-Waimea,High,Continuous Improvement,222,3
461,2014,Niihau,Waimea,Kapaa-Kauai-Waimea,High,Continuous Improvement,212,3
462,2013,Waimea High,Waimea,Kapaa-Kauai-Waimea,High,Continuous Improvement,189,3
